,Date_Time,No,Latitude,Longitude,Altitude,Speed,Heartrate,Cadence,Power
0,2020-09-10 11:21:11,1,53.990311,-1.542084,124.6,10.85,154,116.0,226.0
1,2020-09-10 11:21:12,2,53.990334,-1.541919,124.6,10.8,156,114.0,262.0
2,2020-09-10 11:21:13,3,53.990345999999995,-1.541756,124.6,10.77,158,113.0,256.0
3,2020-09-10 11:21:14,4,53.990341,-1.5415940000000001,124.8,10.72,159,112.0,283.0
4,2020-09-10 11:21:15,5,53.9903,-1.5414450000000002,124.8,10.65,161,111.0,283.0
5,2020-09-10 11:21:16,6,53.990228,-1.541345,125.0,10.5,162,111.0,240.0
6,2020-09-10 11:21:17,7,53.990142000000006,-1.541285,125.2,10.32,163,111.0,248.0
7,2020-09-10 11:21:18,8,53.990051,-1.541243,125.4,10.15,164,110.0,248.0
8,2020-09-10 11:21:19,9,53.989965000000005,-1.541205,125.6,10.09,164,110.0,307.0
9,2020-09-10 11:21:20,10,53.989878000000004,-1.54116,125.6,10.06,165,110.0,307.0
10,2020-09-10 11:21:21,11,53.989792,-1.54111,125.8,10.1,165,110.0,358.0
11,2020-09-10 11:21:22,12,53.98970500000001,-1.541058,126.0,10.18,165,106.0,382.0
12,2020-09-10 11:21:23,13,53.989619999999995,-1.5410059999999999,126.0,10.26,166,106.0,382.0
13,2020-09-10 11:21:24,14,53.989532999999994,-1.54095,126.0,10.34,166,106.0,360.0
14,2020-09-10 11:21:25,15,53.989445999999994,-1.540894,126.2,10.42,165,105.0,389.0
15,2020-09-10 11:21:26,16,53.989357,-1.540834,126.2,10.57,166,104.0,414.0
16,2020-09-10 11:21:27,17,53.98927,-1.540775,126.2,10.72,165,104.0,391.0
17,2020-09-10 11:21:28,18,53.98918199999999,-1.540714,126.4,10.85,166,105.0,360.0
18,2020-09-10 11:21:29,19,53.989091,-1.540649,126.4,10.97,166,105.0,341.0
19,2020-09-10 11:21:30,20,53.988999,-1.540584,126.4,11.09,166,105.0,341.0
20,2020-09-10 11:21:31,21,53.988907999999995,-1.540518,126.4,11.2,165,105.0,336.0
21,2020-09-10 11:21:32,22,53.988815,-1.54045,126.6,11.32,165,105.0,364.0
22,2020-09-10 11:21:33,23,53.988721999999996,-1.540382,126.6,11.45,165,106.0,368.0
23,2020-09-10 11:21:34,24,53.988626000000004,-1.540311,126.6,11.57,166,106.0,354.0
24,2020-09-10 11:21:35,25,53.988530000000004,-1.540239,126.6,11.67,166,106.0,391.0
25,2020-09-10 11:21:36,26,53.988434,-1.540168,126.6,11.77,166,107.0,382.0
26,2020-09-10 11:21:37,27,53.988337,-1.540096,126.6,11.88,165,108.0,468.0
27,2020-09-10 11:21:38,28,53.988239,-1.540022,126.6,12.03,165,108.0,468.0
28,2020-09-10 11:21:39,29,53.988137,-1.5399459999999998,126.8,12.2,166,109.0,488.0
29,2020-09-10 11:21:40,30,53.988037,-1.539871,126.8,12.34,166,112.0,468.0
