,Date_Time,No,Latitude,Longitude,Altitude,Speed,Heartrate,Cadence,Power
0,2020-09-10 12:04:16,1,53.990312,-1.542082,124.6,11.09,136,70.0,366.0
1,2020-09-10 12:04:17,2,53.990334,-1.541909,124.6,11.27,138,70.0,366.0
2,2020-09-10 12:04:18,3,53.990347,-1.541735,124.8,11.38,139,69.0,368.0
3,2020-09-10 12:04:19,4,53.990334999999995,-1.5415709999999998,124.8,11.42,139,69.0,368.0
4,2020-09-10 12:04:20,5,53.990285,-1.54142,124.8,11.39,140,71.0,351.0
5,2020-09-10 12:04:21,6,53.9902,-1.541324,125.0,11.3,140,70.0,345.0
6,2020-09-10 12:04:22,7,53.99010500000001,-1.541269,125.2,11.19,141,70.0,345.0
7,2020-09-10 12:04:23,8,53.990003,-1.541224,125.4,11.07,142,72.0,309.0
8,2020-09-10 12:04:24,9,53.989909999999995,-1.541179,125.6,10.99,142,73.0,283.0
9,2020-09-10 12:04:25,10,53.98981800000001,-1.541128,125.8,10.9,142,74.0,282.0
10,2020-09-10 12:04:26,11,53.989724,-1.541072,125.8,10.83,142,73.0,282.0
11,2020-09-10 12:04:27,12,53.989633,-1.541016,126.0,10.79,143,74.0,285.0
12,2020-09-10 12:04:28,13,53.989537,-1.5409549999999999,126.0,10.78,143,76.0,305.0
13,2020-09-10 12:04:29,14,53.989449,-1.540897,126.2,10.8,144,77.0,328.0
14,2020-09-10 12:04:30,15,53.989357,-1.540835,126.2,10.84,144,77.0,328.0
15,2020-09-10 12:04:31,16,53.98926899999999,-1.540774,126.2,10.94,145,77.0,311.0
16,2020-09-10 12:04:32,17,53.98917900000001,-1.540712,126.4,11.02,145,78.0,313.0
17,2020-09-10 12:04:33,18,53.989084,-1.540646,126.4,11.13,145,78.0,313.0
18,2020-09-10 12:04:34,19,53.988997999999995,-1.540584,126.4,11.27,146,78.0,310.0
19,2020-09-10 12:04:35,20,53.9889,-1.540511,126.4,11.41,146,78.0,319.0
20,2020-09-10 12:04:36,21,53.988806999999994,-1.540442,126.6,11.55,146,79.0,319.0
21,2020-09-10 12:04:37,22,53.988712,-1.540371,126.6,11.68,147,80.0,319.0
22,2020-09-10 12:04:38,23,53.988615,-1.540299,126.6,11.82,147,80.0,327.0
23,2020-09-10 12:04:39,24,53.988515,-1.540225,126.6,11.96,148,81.0,327.0
24,2020-09-10 12:04:40,25,53.988414,-1.54015,126.6,12.09,148,81.0,327.0
25,2020-09-10 12:04:41,26,53.988317,-1.540078,126.6,12.2,148,80.0,326.0
26,2020-09-10 12:04:42,27,53.988216,-1.540003,126.6,12.32,149,81.0,326.0
27,2020-09-10 12:04:43,28,53.988115,-1.539929,126.8,12.43,149,81.0,334.0
28,2020-09-10 12:04:44,29,53.988009,-1.53985,126.8,12.54,149,81.0,325.0
29,2020-09-10 12:04:45,30,53.98790699999999,-1.539775,126.8,12.63,149,81.0,325.0
30,2020-09-10 12:04:46,31,53.987798,-1.5396969999999999,126.8,12.72,149,81.0,330.0
31,2020-09-10 12:04:47,32,53.987696,-1.539623,126.8,12.86,149,83.0,330.0
32,2020-09-10 12:04:48,33,53.987582999999994,-1.539542,126.4,13.22,150,83.0,349.0
33,2020-09-10 12:04:49,34,53.987469,-1.53948,126.0,13.53,150,82.0,330.0
34,2020-09-10 12:04:50,35,53.987349,-1.5394709999999998,125.8,13.72,151,83.0,330.0
35,2020-09-10 12:04:51,36,53.987228,-1.539515,125.8,13.84,151,83.0,355.0
36,2020-09-10 12:04:52,37,53.987113,-1.539612,126.0,13.84,151,83.0,329.0
37,2020-09-10 12:04:53,38,53.98703100000001,-1.539763,126.2,13.7,151,79.0,329.0
38,2020-09-10 12:04:54,39,53.986964,-1.53995,126.6,13.51,151,74.0,327.0
39,2020-09-10 12:04:55,40,53.986909999999995,-1.540126,126.8,13.36,151,70.0,354.0
40,2020-09-10 12:04:56,41,53.986858,-1.540305,127.2,13.22,152,70.0,354.0
41,2020-09-10 12:04:57,42,53.98680400000001,-1.5404950000000002,127.6,13.09,152,70.0,404.0
42,2020-09-10 12:04:58,43,53.986755,-1.540673,127.8,13.0,152,67.0,404.0
43,2020-09-10 12:04:59,44,53.98670500000001,-1.5408549999999999,128.2,12.89,152,70.0,382.0
44,2020-09-10 12:05:00,45,53.986656,-1.541029,128.6,12.76,152,71.0,396.0
45,2020-09-10 12:05:01,46,53.986608,-1.541199,128.8,12.53,153,68.0,349.0
